region,country,emissions (kt),source,type,segment,reason,baseYear,emissionsRank,energyRank
Africa,Algeria,260.82,IEA,Agriculture,Total,All,11-30-18,19,11
Africa,Algeria,0.01,IEA,Energy,Bioenergy,All,2023,19,11
Africa,Algeria,45.26,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2023,19,11
Africa,Algeria,71.49,IEA,Energy,Gas pipelines and LNG facilities,Vented,2023,19,11
Africa,Algeria,190.95,IEA,Energy,Onshore gas,Fugitive,2023,19,11
Africa,Algeria,476.47,IEA,Energy,Onshore gas,Vented,2023,19,11
Africa,Algeria,477.71,IEA,Energy,Onshore oil,Flared,2023,19,11
Africa,Algeria,285.39,IEA,Energy,Onshore oil,Fugitive,2023,19,11
Africa,Algeria,1141.55,IEA,Energy,Onshore oil,Vented,2023,19,11
Africa,Algeria,0.02,IEA,Energy,Other from coal,All,2023,19,11
Africa,Algeria,15.66,IEA,Energy,Other from oil and gas,All,2023,19,11
Africa,Algeria,77.1,IEA,Energy,Satellite-detected large oil and gas emissions,All,2023,19,11
Africa,Algeria,2781.62,IEA,Energy,Total,All,2023,19,11
Africa,Algeria,7.03,IEA,Other,Total,All,11-30-18,19,11
Africa,Algeria,516.53,IEA,Waste,Total,All,11-30-18,19,11
Africa,Angola,390.78,IEA,Agriculture,Total,All,11-30-18,42,26
Africa,Angola,60.53,IEA,Energy,Bioenergy,All,2023,42,26
Africa,Angola,1.29,IEA,Energy,Gas pipelines and LNG facilities,Fugitive,2023,42,26
Africa,Angola,2.04,IEA,Energy,Gas pipelines and LNG facilities,Vented,2023,42,26
Africa,Angola,0,IEA,Energy,Offshore gas,Fugitive,2023,42,26
Africa,Angola,0.01,IEA,Energy,Offshore gas,Vented,2023,42,26
Africa,Angola,50.49,IEA,Energy,Offshore oil,Flared,2023,42,26
Africa,Angola,141.36,IEA,Energy,Offshore oil,Fugitive,2023,42,26
Africa,Angola,565.44,IEA,Energy,Offshore oil,Vented,2023,42,26
Africa,Angola,5.83,IEA,Energy,Onshore gas,Fugitive,2023,42,26
Africa,Angola,14.55,IEA,Energy,Onshore gas,Vented,2023,42,26
Africa,Angola,1.22,IEA,Energy,Onshore oil,Flared,2023,42,26
Africa,Angola,4.24,IEA,Energy,Onshore oil,Fugitive,2023,42,26
Africa,Angola,16.98,IEA,Energy,Onshore oil,Vented,2023,42,26
Africa,Angola,2.69,IEA,Energy,Other from oil and gas,All,2023,42,26
